2024 NSW Rapid
 Cross Table at round 7 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  User  
115 Nabulsi,Derek                  1382     NSW  2.5 | =W122 =B59  -W132 =B119 +W137 -B76  -W84   |    0.0 
116 Parker,Paul                    1347     NSW  2.5 | +B60  -W47  -B111 +W121 -B31  =W112 -B71   |    0.0 
117 Tracey,Michael J               1182     NSW  2.5 | -B142 =W141 -B136 -W139 +B138 +W120 -B77   |    0.0 
118 Chiddy,Lance                    989     NSW  2.5 | -W81  +B134 -W76  -B97  =B77  +W139 -W79   |    0.0 
119 Daniel,Suria                    977     NSW  2.5 | +B152 -W87  -B31  =W115 -B68  +W122 -B82   |    0.0 
120 Rej,Alexander                   957     NSW  2.5 | =W137 +B95  -W44  -B20  -W70  -B117 +W141  |    0.0 
121 Vincent,Alvin                   656     NSW  2.5 | -W34  +B147 -W91  -B116 +F144 =B97  -W83   |    0.0 
122 Chan,Simon                        0     NSW  2.5 | =B115 -W36  -B73  +W150 -W79  -B119 +W137  |    0.0 
123 Zhu,Maxwell                       0     AUS  2.5 | +BYE  +W92  -B66  =W82  -B29  -W75  -B98   |    0.0 
124 Ye,Thomas                      1179     NSW  2.0 | -W135 -B131 +W150 +B145 -W41  -B63  -W107  |    0.0 
125 Ye,Roy                         1173     NSW  2.0 | -B22  -W21  =B140 +W141 -B30  =W129 -B109  |    0.0 
126 Vaulin-Fox,Jackson             1024     NSW  2.0 | +W147 -B45  -W72  -B96  -W48  +B134 -W99   |    0.0 
127 Slingo,Samuel                  1003     NSW  2.0 | -B111 +W133 -B65  -W94  -B87  -W109 +BYE   |    0.0 
128 Nguyen,Teppi                    810     ACT  2.0 | +W113 -B70  +W78  -B85  -W47  -B80  -W101  |    0.0 
129 Khishigbaatar,Choijilsuren      707     MGL  2.0 | +W91  =B86  -W45  -B51  -W76  =B125 -W102  |    0.0 
130 Daniel,Ariye                    547     NSW  2.0 | -B92  -B91  +W134 +W102 -B89  -W95  -B100  |    0.0 
131 Castroverde,Herbert               0     AUS  2.0 | -B35  +W124 -B92  -W105 -B100 +W147 -B103  |    0.0 
132 Gough,Benjamin                    0     AUS  2.0 | +B98  -W52  +B115 -W75  -B53  -W56  -B105  |    0.0 
133 Khadekar,Abir Amit                0     IND  2.0 | -W101 -B127 -W104 -W134 +BYE  -B57  +F147  |    0.0 
134 Khadekar,Advik Amit               0     IND  2.0 | -B102 -W118 -B130 +B133 +B150 -W126 -W104  |    0.0 
135 Mittal,Saurabh                    0     NSW  2.0 | +B124 -W53  +B100 -W52  -B54  -W96  -B106  |    0.0 
136 Roy Chowdhury,Saptaswa            0     AUS  2.0 | -B103 =B138 +W117 -W73  -B37  -W77  =B142  |    0.0 
137 White,Gareth                      0     NSW  2.0 | =B120 +W139 -B46  -W55  -B115 =W98  -B122  |    0.0 
138 Crawford,Alexander         (W)  912     NSW  1.5 | -B112 =W136 -W20  -B84  -W117 +B142  --    |    0.0 
139 Bobbert,Finn               (W)    0     AUS  1.5 | =W95  -B137 -W79  +B117 -W90  -B118  --    |    0.0 
140 Cairns,Orson               (W)    0     NSW  1.5 | -B56  -B99  =W125 +W98  -B78  -W71   --    |    0.0 
141 Campos Wagner,Fulvio Alberto      0     AUS  1.5 | -W96  =B117 -W95  -B125 -B98  +W150 -B120  |    0.0 
142 Mittal,Ekansh                     0     NSW  1.5 | +W117 -B90  -W57  -B104 -B106 -W138 =W136  |    0.0 
143 Heath,Charlie              (W) 1608     NSW  1.0 | -B66  +W61  -B19  -B63   --    --    --    |    0.0 
144 Ella,Matthew               (W) 1569     NSW  1.0 | -W40  +B110 -B69  -W64  -F121  --    --    |    0.0 
145 Acton,Tres                 (W)    0     NSW  1.0 | -B55  -B93  +W147 -W124  --    --    --    |    0.0 
146 Ben Mathews,Jude           (W)    0     IND  1.0 | -B94  +W98  -B82  -W103 -F80   --    --    |    0.0 
147 Sladojevic,Suzanna                0     NSW  1.0 | -B126 -W121 -B145 +BYE  -W102 -B131 -F133  |    0.0 
148 Tilok,Ramim Ahbab          (W)    0     BAN  0.0 | -F15   --    --    --    --    --    --    |    0.0 
149 De Meio,Michael            (W) 1543     NSW  0.0 | -F67   --    --    --    --    --    --    |    0.0 
150 Karakaidos,Apollo          (W)    0     AUS  0.0 | -B100 -W105 -B124 -B122 -W134 -B141  --    |    0.0 
151 Slack-Smith,Hugh           (W)    0     NSW  0.0 | -F106  --    --    --    --    --    --    |    0.0 
152 Weir,Hexum                 (W)    0     AUS  0.0 | -W119 -B107  --    --    --    --    --    |    0.0 
